"","state","quantile","occ_category","share_quantile","percentile"
"252","AK",12,"Not Identified",0.0220738267482842,0.3
"253","AK",13,"Chief Executives",0.00427827380952381,0.325
"254","AK",13,"Other Managers",0.00669642857142857,0.325
"255","AK",13,"Business Operations Specialists",0.0241815476190476,0.325
"256","AK",13,"Financial Specialists",0.00595238095238095,0.325
"257","AK",13,"Computer and Mathematical",0.0167410714285714,0.325
"258","AK",13,"Architecture and Engineering",0.00279017857142857,0.325
"259","AK",13,"Life, Physical, and Social Science",0.00167410714285714,0.325
"260","AK",13,"Community and Social Services",0.00223214285714286,0.325
"261","AK",13,"Legal",0.00111607142857143,0.325
"262","AK",13,"Arts, Design, Entertainment, Sports, and Media",0.0182291666666667,0.325
"263","AK",13,"Healthcare Practitioners and Technicians",0.0305059523809524,0.325
"264","AK",13,"Healthcare Support",0.0299479166666667,0.325
"265","AK",13,"Protective Service",0.0238095238095238,0.325
"266","AK",13,"Food Preparation and Serving",0.0621279761904762,0.325
"267","AK",13,"Building and Grounds Cleaning and Maintenance",0.0476190476190476,0.325
"268","AK",13,"Personal Care and Service",0.0398065476190476,0.325
"269","AK",13,"Sales and Related",0.114955357142857,0.325
"270","AK",13,"Office and Administrative Support",0.237537202380952,0.325
"271","AK",13,"Farming, Fishing, and Forestry",0.00539434523809524,0.325
"272","AK",13,"Construction",0.0375744047619048,0.325
"273","AK",13,"Extraction",0.0305059523809524,0.325
"274","AK",13,"Installation, Maintenance, and Repair",0.0602678571428571,0.325
"275","AK",13,"Production",0.08203125,0.325
"276","AK",13,"Transportation and Material Moving",0.109561011904762,0.325
"277","AK",13,"Not Identified",0.00446428571428571,0.325
"278","AK",14,"Business Operations Specialists",0.0506912442396313,0.35
"279","AK",14,"Financial Specialists",0.016405529953917,0.35
"280","AK",14,"Computer and Mathematical",0.00737327188940092,0.35
"281","AK",14,"Life, Physical, and Social Science",0.00110599078341014,0.35
"282","AK",14,"Community and Social Services",0.000921658986175115,0.35
"283","AK",14,"Legal",0.00331797235023041,0.35
"284","AK",14,"Arts, Design, Entertainment, Sports, and Media",0.0654377880184332,0.35
"285","AK",14,"Healthcare Practitioners and Technicians",0.0176958525345622,0.35
"286","AK",14,"Healthcare Support",0.0755760368663594,0.35
"287","AK",14,"Protective Service",0.0259907834101382,0.35
"288","AK",14,"Food Preparation and Serving",0.0997235023041475,0.35
"289","AK",14,"Building and Grounds Cleaning and Maintenance",0.0444239631336406,0.35
"290","AK",14,"Personal Care and Service",0.0418433179723502,0.35
"291","AK",14,"Sales and Related",0.133456221198157,0.35
"292","AK",14,"Office and Administrative Support",0.141751152073733,0.35
"293","AK",14,"Farming, Fishing, and Forestry",0.0138248847926267,0.35
